id,userid,sectionid,objectid,ca_sec_id,EOL
set1,user2,section121,object300,,EOL
set2,user2,section122,object300,,EOL
set3,user2,section122,object301,,EOL
set4,user2,section122,object302,,EOL
set5,user2,section123,object300,,EOL
set6,user2,section123,object300,,EOL
set7,user2,section124,object300,,EOL
set8,user2,section124,object502,,EOL
set9,user2,section125,object300,,EOL
set10,user2,section125,object305,,EOL
set11,user2,section126,object300,,EOL
set12,user2,section127,object303,,EOL
set13,user2,section128,object303,,EOL
set14,user2,section128,object503,,EOL
set15,user2,section128,object502,,EOL
set16,user2,section129,object503,,EOL
set17,user2,section130,object304,,EOL
set18,user2,section131,object305,,EOL
set19,user2,section132,object300,,EOL
set21,user6,section109,object94,,EOL
set22,user6,section110,object99,,EOL
set23,user6,section110,object104,,EOL
set24,user6,section110,object104,,EOL
set25,user6,section111,object99,,EOL
set26,user6,section113,object102,,EOL
set27,user6,section113,object137,,EOL
set28,user6,section113,object113,,EOL
set29,user6,section114,object505,,EOL
set30,user6,section114,object507,,EOL
set31,user6,section115,object129,,EOL
set32,user6,section116,object129,,EOL
set33,user6,section117,object111,,EOL
set34,user6,section117,object112,,EOL
set35,user6,section118,object112,,EOL
set36,user6,section119,object111,,EOL